"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","GFCFSECTOR","GG","PC_GFCF","A","2018",17.942953292701,
"SVK","GFCFSECTOR","GG","PC_GFCF","A","2019",16.703664981312,
"SVK","GFCFSECTOR","GG","PC_GFCF","A","2020",17.658421099443,
"SVK","GFCFSECTOR","GG","PC_GFCF","A","2021",16.5280696580832,
"DEU","GFCFSECTOR","GG","PC_GFCF","A","2018",11.2394719432843,
"DEU","GFCFSECTOR","GG","PC_GFCF","A","2019",11.2861532327264,"E"
"DEU","GFCFSECTOR","GG","PC_GFCF","A","2020",12.4329787393007,"E"
"DEU","GFCFSECTOR","GG","PC_GFCF","A","2021",11.9469918500033,"E"
"DEU","GFCFSECTOR","GG","PC_GFCF","A","2022",11.6253288776031,"E"
"DNK","GFCFSECTOR","GG","PC_GFCF","A","2018",15.7760143795255,
"DNK","GFCFSECTOR","GG","PC_GFCF","A","2019",15.2542338352344,
"DNK","GFCFSECTOR","GG","PC_GFCF","A","2020",16.2383495492296,
"DNK","GFCFSECTOR","GG","PC_GFCF","A","2021",15.0933164705425,
"DNK","GFCFSECTOR","GG","PC_GFCF","A","2022",13.1450579633423,
"NLD","GFCFSECTOR","GG","PC_GFCF","A","2018",16.736351388107,
"NLD","GFCFSECTOR","GG","PC_GFCF","A","2019",15.9587519096338,
"NLD","GFCFSECTOR","GG","PC_GFCF","A","2020",16.9281298970145,"E"
"NLD","GFCFSECTOR","GG","PC_GFCF","A","2021",15.9755813512591,"E"
"PRT","GFCFSECTOR","GG","PC_GFCF","A","2018",10.541866309108,
"PRT","GFCFSECTOR","GG","PC_GFCF","A","2019",10.0589983443839,
"PRT","GFCFSECTOR","GG","PC_GFCF","A","2020",12.0537701024794,
"PRT","GFCFSECTOR","GG","PC_GFCF","A","2021",12.663958921587,"E"
"PRT","GFCFSECTOR","GG","PC_GFCF","A","2022",12.1852513610875,"E"
"FRA","GFCFSECTOR","GG","PC_GFCF","A","2018",14.8563000094266,
"FRA","GFCFSECTOR","GG","PC_GFCF","A","2019",15.5546197489747,
"FRA","GFCFSECTOR","GG","PC_GFCF","A","2020",16.0246030038463,"E"
"FRA","GFCFSECTOR","GG","PC_GFCF","A","2021",14.7917738976653,"E"
"SWE","GFCFSECTOR","GG","PC_GFCF","A","2018",19.3354719309068,
"SWE","GFCFSECTOR","GG","PC_GFCF","A","2019",19.945237708908,
"SWE","GFCFSECTOR","GG","PC_GFCF","A","2020",19.8714139409035,
"SWE","GFCFSECTOR","GG","PC_GFCF","A","2021",18.6534185529413,
"FIN","GFCFSECTOR","GG","PC_GFCF","A","2018",17.7596697861438,
"FIN","GFCFSECTOR","GG","PC_GFCF","A","2019",18.3957724544611,
"FIN","GFCFSECTOR","GG","PC_GFCF","A","2020",20.1132253498978,
"FIN","GFCFSECTOR","GG","PC_GFCF","A","2021",17.7113468338155,
"FIN","GFCFSECTOR","GG","PC_GFCF","A","2022",16.7021567852037,
"BEL","GFCFSECTOR","GG","PC_GFCF","A","2018",11.1198117712878,
"BEL","GFCFSECTOR","GG","PC_GFCF","A","2019",10.7259974925547,
"BEL","GFCFSECTOR","GG","PC_GFCF","A","2020",11.2030990890584,"E"
"BEL","GFCFSECTOR","GG","PC_GFCF","A","2021",11.2758884353809,"E"
"LUX","GFCFSECTOR","GG","PC_GFCF","A","2018",24.2021413100383,
"LUX","GFCFSECTOR","GG","PC_GFCF","A","2019",23.6943203279746,
"LUX","GFCFSECTOR","GG","PC_GFCF","A","2020",28.373993622771,
"LUX","GFCFSECTOR","GG","PC_GFCF","A","2021",24.4955616108594,
"HUN","GFCFSECTOR","GG","PC_GFCF","A","2018",23.4293327169888,
"HUN","GFCFSECTOR","GG","PC_GFCF","A","2019",23.1725131378298,
"HUN","GFCFSECTOR","GG","PC_GFCF","A","2020",24.3777744015142,
"HUN","GFCFSECTOR","GG","PC_GFCF","A","2021",22.9482023183984,"E"
"IRL","GFCFSECTOR","GG","PC_GFCF","A","2018",7.13607874782936,
"IRL","GFCFSECTOR","GG","PC_GFCF","A","2019",4.14253263950038,
"IRL","GFCFSECTOR","GG","PC_GFCF","A","2020",5.47587781164095,
"IRL","GFCFSECTOR","GG","PC_GFCF","A","2021",8.66354055623715,
"POL","GFCFSECTOR","GG","PC_GFCF","A","2018",24.8439409950126,
"POL","GFCFSECTOR","GG","PC_GFCF","A","2019",22.7813247835608,
"POL","GFCFSECTOR","GG","PC_GFCF","A","2020",24.3754817912121,
"POL","GFCFSECTOR","GG","PC_GFCF","A","2021",24.2433931761723,
"ESP","GFCFSECTOR","GG","PC_GFCF","A","2018",11.066428485957,
"ESP","GFCFSECTOR","GG","PC_GFCF","A","2019",10.8892914686055,
"ESP","GFCFSECTOR","GG","PC_GFCF","A","2020",13.0134247357898,
"ESP","GFCFSECTOR","GG","PC_GFCF","A","2021",13.8981345629847,
"LVA","GFCFSECTOR","GG","PC_GFCF","A","2018",25.4218234235464,
"LVA","GFCFSECTOR","GG","PC_GFCF","A","2019",21.877552273375,
"LVA","GFCFSECTOR","GG","PC_GFCF","A","2020",24.4510874431473,
"LVA","GFCFSECTOR","GG","PC_GFCF","A","2021",23.2845114165894,
"LTU","GFCFSECTOR","GG","PC_GFCF","A","2018",15.246628688614,
"LTU","GFCFSECTOR","GG","PC_GFCF","A","2019",14.3681235458859,
"LTU","GFCFSECTOR","GG","PC_GFCF","A","2020",20.8069089737658,
"LTU","GFCFSECTOR","GG","PC_GFCF","A","2021",14.5023018591274,
