"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2018",7.47536373197189,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2019",2.96666963537227,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2020",3.36044541816091,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2021",7.10971625931939,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2018",27.1574776476385,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2019",23.3129116956101,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2020",23.6060331204473,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2021",25.305504939902,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2018",17.1554214601959,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2019",17.2764146179189,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2020",17.8810449761607,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2021",22.0356319429889,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2018",23.1700932033939,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2019",23.5799676286572,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2020",23.5056197953415,"E"
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2021",24.2451478345609,"E"
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2018",16.3668620425216,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2019",16.1823284956781,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2020",15.2102376756277,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2021",13.7589506810325,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2018",19.9083168390566,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2019",20.6633565929904,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2020",21.9516372143474,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2021",21.3541690602175,
