Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.N.000000.4.ANR
,ICP.M.U2.N.000000.4.ANR
,"Euro area (changing composition) - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2016Nov,0.6,Normal value (A),
2016Oct,0.5,Normal value (A),
2016Sep,0.4,Normal value (A),
2016Aug,0.2,Normal value (A),
2016Jul,0.2,Normal value (A),
2016Jun,0.0,Normal value (A),
2016May,-0.1,Normal value (A),
2016Apr,-0.3,Normal value (A),
2016Mar,0.0,Normal value (A),
2016Feb,-0.1,Normal value (A),
2016Jan,0.3,Normal value (A),
2015Dec,0.3,Normal value (A),
2015Nov,0.1,Normal value (A),
2015Oct,0.4,Normal value (A),
2015Sep,0.2,Normal value (A),
2015Aug,0.4,Normal value (A),
2015Jul,0.5,Normal value (A),
2015Jun,0.5,Normal value (A),
2015May,0.6,Normal value (A),
2015Apr,0.2,Normal value (A),
2015Mar,-0.1,Normal value (A),
2015Feb,-0.3,Normal value (A),
2015Jan,-0.6,Normal value (A),
2014Dec,-0.2,Normal value (A),
2014Nov,0.3,Normal value (A),
2014Oct,0.4,Normal value (A),
2014Sep,0.3,Normal value (A),
2014Aug,0.4,Normal value (A),
2014Jul,0.4,Normal value (A),
2014Jun,0.5,Normal value (A),
2014May,0.5,Normal value (A),
2014Apr,0.7,Normal value (A),
2014Mar,0.5,Normal value (A),
2014Feb,0.7,Normal value (A),
2014Jan,0.8,Normal value (A),
2013Dec,0.8,Normal value (A),
2013Nov,0.9,Normal value (A),
2013Oct,0.7,Normal value (A),
2013Sep,1.1,Normal value (A),
2013Aug,1.3,Normal value (A),
2013Jul,1.6,Normal value (A),
2013Jun,1.6,Normal value (A),
2013May,1.4,Normal value (A),
2013Apr,1.2,Normal value (A),
2013Mar,1.7,Normal value (A),
2013Feb,1.9,Normal value (A),
2013Jan,2.0,Normal value (A),
2012Dec,2.2,Normal value (A),
2012Nov,2.2,Normal value (A),
2012Oct,2.5,Normal value (A),
2012Sep,2.6,Normal value (A),
2012Aug,2.6,Normal value (A),
2012Jul,2.4,Normal value (A),
2012Jun,2.4,Normal value (A),
2012May,2.4,Normal value (A),
2012Apr,2.6,Normal value (A),
2012Mar,2.7,Normal value (A),
2012Feb,2.7,Normal value (A),
2012Jan,2.7,Normal value (A),Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.
2011Dec,2.8,Normal value (A),
2011Nov,3.0,Normal value (A),
2011Oct,3.0,Normal value (A),
2011Sep,3.0,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Austrian HICP.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2011Aug,2.5,Normal value (A),
2011Jul,2.6,Normal value (A),
2011Jun,2.7,Normal value (A),
2011May,2.7,Normal value (A),
2011Apr,2.8,Normal value (A),
2011Mar,2.7,Normal value (A),
2011Feb,2.4,Normal value (A),
2011Jan,2.3,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the HICPs of DE, EE, GR, FR, IT, CY, LU, MT, PT, SI, SK. The Regulation had particularly large impacts on clothing and footwear and to a lesser extent fruit and vegetables. In addition, NL implemented a new methodology for package holidays and air transport. These changes have a distorting impact on the annual rates of change in 2011.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2010Dec,2.2,Normal value (A),
2010Nov,1.9,Normal value (A),
2010Oct,1.9,Normal value (A),
2010Sep,1.9,Normal value (A),
2010Aug,1.6,Normal value (A),
2010Jul,1.7,Normal value (A),
2010Jun,1.5,Normal value (A),
2010May,1.7,Normal value (A),
2010Apr,1.6,Normal value (A),
2010Mar,1.6,Normal value (A),
2010Feb,0.8,Normal value (A),
2010Jan,0.9,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Spanish HICP. Also reallocation of rented holiday apartments from COICOP accomodation services (11.2.0) to actual rentals (04.1.1) in the Spanish HICP.  These changes have a distorting impact on the annual rates of change in 2010.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2009Dec,0.9,Normal value (A),
2009Nov,0.5,Normal value (A),
2009Oct,-0.1,Normal value (A),
2009Sep,-0.3,Normal value (A),
2009Aug,-0.2,Normal value (A),
2009Jul,-0.6,Normal value (A),
2009Jun,-0.1,Normal value (A),
2009May,0.0,Normal value (A),
2009Apr,0.6,Normal value (A),
2009Mar,0.6,Normal value (A),
2009Feb,1.2,Normal value (A),
2009Jan,1.1,Normal value (A),
2008Dec,1.6,Normal value (A),
2008Nov,2.1,Normal value (A),
2008Oct,3.2,Normal value (A),
2008Sep,3.6,Normal value (A),
2008Aug,3.8,Normal value (A),
2008Jul,4.1,Normal value (A),
2008Jun,3.9,Normal value (A),
2008May,3.7,Normal value (A),
2008Apr,3.3,Normal value (A),
2008Mar,3.6,Normal value (A),
2008Feb,3.3,Normal value (A),
2008Jan,3.2,Normal value (A),Introduction of methodological changes to the German HICP including - new basket, updated of volume structure of the weights, introduction of explicit weights for outlets and implementation of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP
2007Dec,3.1,Normal value (A),
2007Nov,3.1,Normal value (A),
2007Oct,2.5,Normal value (A),
2007Sep,2.1,Normal value (A),
2007Aug,1.7,Normal value (A),
2007Jul,1.8,Normal value (A),
2007Jun,1.9,Normal value (A),
2007May,1.9,Normal value (A),
2007Apr,1.9,Normal value (A),
2007Mar,1.9,Normal value (A),
2007Feb,1.8,Normal value (A),
2007Jan,1.8,Normal value (A),
2006Dec,1.9,Normal value (A),
2006Nov,1.8,Normal value (A),
2006Oct,1.6,Normal value (A),Introduction of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP in Italy. Collection after October 2006 took place between the 1st and the 21st of the reference month. Until September 2006 the collection period was between the 16th of the previous month and the 15th of the reference month.
2006Sep,1.8,Normal value (A),
2006Aug,2.3,Normal value (A),
2006Jul,2.4,Normal value (A),
2006Jun,2.5,Normal value (A),
2006May,2.5,Normal value (A),
2006Apr,2.4,Normal value (A),
2006Mar,2.2,Normal value (A),
2006Feb,2.4,Normal value (A),
2006Jan,2.4,Normal value (A),
2005Dec,2.3,Normal value (A),
2005Nov,2.3,Normal value (A),
2005Oct,2.5,Normal value (A),
2005Sep,2.6,Normal value (A),
2005Aug,2.2,Normal value (A),
2005Jul,2.1,Normal value (A),
2005Jun,2.0,Normal value (A),
2005May,2.0,Normal value (A),
2005Apr,2.1,Normal value (A),
2005Mar,2.2,Normal value (A),
2005Feb,2.1,Normal value (A),
2005Jan,1.9,Normal value (A),
2004Dec,2.3,Normal value (A),
2004Nov,2.2,Normal value (A),
2004Oct,2.4,Normal value (A),
2004Sep,2.1,Normal value (A),
2004Aug,2.4,Normal value (A),
2004Jul,2.3,Normal value (A),
2004Jun,2.4,Normal value (A),
2004May,2.5,Normal value (A),
2004Apr,2.1,Normal value (A),
2004Mar,1.7,Normal value (A),
2004Feb,1.6,Normal value (A),
2004Jan,1.8,Normal value (A),
2003Dec,2.0,Normal value (A),
2003Nov,2.2,Normal value (A),
2003Oct,2.0,Normal value (A),
2003Sep,2.1,Normal value (A),
2003Aug,2.0,Normal value (A),
2003Jul,1.9,Normal value (A),
2003Jun,2.0,Normal value (A),
2003May,1.8,Normal value (A),
2003Apr,2.1,Normal value (A),
2003Mar,2.4,Normal value (A),
2003Feb,2.4,Normal value (A),
2003Jan,2.1,Normal value (A),
2002Dec,2.3,Normal value (A),
2002Nov,2.3,Normal value (A),
2002Oct,2.3,Normal value (A),
2002Sep,2.1,Normal value (A),
2002Aug,2.1,Normal value (A),
2002Jul,2.0,Normal value (A),
2002Jun,1.9,Normal value (A),
2002May,2.1,Normal value (A),
2002Apr,2.4,Normal value (A),
2002Mar,2.5,Normal value (A),
2002Feb,2.5,Normal value (A),
2002Jan,2.6,Normal value (A),
2001Dec,2.1,Normal value (A),
2001Nov,2.0,Normal value (A),
2001Oct,2.2,Normal value (A),
2001Sep,2.2,Normal value (A),
2001Aug,2.3,Normal value (A),
2001Jul,2.5,Normal value (A),
2001Jun,2.9,Normal value (A),
2001May,3.1,Normal value (A),
2001Apr,2.7,Normal value (A),
2001Mar,2.2,Normal value (A),
2001Feb,2.0,Normal value (A),
2001Jan,2.0,Normal value (A),Introduction of harmonised treatment of price reductions in Spain and Italy as of Jan01
2000Dec,2.5,Normal value (A),
2000Nov,2.5,Normal value (A),
2000Oct,2.4,Normal value (A),
2000Sep,2.4,Normal value (A),
2000Aug,2.0,Normal value (A),
2000Jul,2.1,Normal value (A),
2000Jun,2.1,Normal value (A),
2000May,1.8,Normal value (A),
2000Apr,1.7,Normal value (A),
2000Mar,2.0,Normal value (A),
2000Feb,1.9,Normal value (A),
2000Jan,1.9,Normal value (A),Introduction of harmonised treatment of price reductions in Belgium as of Jan00
1999Dec,1.7,Normal value (A),
1999Nov,1.5,Normal value (A),
1999Oct,1.3,Normal value (A),
1999Sep,1.2,Normal value (A),
1999Aug,1.1,Normal value (A),
1999Jul,1.0,Normal value (A),
1999Jun,0.9,Normal value (A),
1999May,0.9,Normal value (A),
1999Apr,1.1,Normal value (A),
1999Mar,0.9,Normal value (A),
1999Feb,0.7,Normal value (A),
1999Jan,0.8,Normal value (A),Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99
1998Dec,0.8,Normal value (A),
1998Nov,0.8,Normal value (A),
1998Oct,0.9,Normal value (A),
1998Sep,1.0,Normal value (A),
1998Aug,1.1,Normal value (A),
1998Jul,1.3,Normal value (A),
1998Jun,1.3,Normal value (A),
1998May,1.3,Normal value (A),
1998Apr,1.4,Normal value (A),
1998Mar,1.1,Normal value (A),
1998Feb,1.1,Normal value (A),
1998Jan,1.1,Normal value (A),Introduction of harmonised treatment of price reductions in Portugal as of Jan98
1997Dec,1.5,Normal value (A),
1997Nov,1.6,Normal value (A),
1997Oct,1.5,Normal value (A),
1997Sep,1.6,Normal value (A),
1997Aug,1.7,Normal value (A),
1997Jul,1.5,Normal value (A),
1997Jun,1.4,Normal value (A),
1997May,1.4,Normal value (A),
1997Apr,1.3,Normal value (A),
1997Mar,1.6,Normal value (A),
1997Feb,1.8,Normal value (A),
1997Jan,2.0,Normal value (A),
